finishing_position;horse_number;horse_name;horse_id;jockey;trainer;actual_weight;declared_horse_weight;draw;running_position_1;running_position_2;running_position_3;finish_time;finish_time_seconds;race_id;father;mother;gfather
6;2;ALL YOU WISH;P031;O Bosson;C H Yip;130;1178;8;10;9;6;1.09.67;69,067;2015-733;SHOWCASING;MOMENT OF TIME;RAINBOW QUEST
3;8;ALOHA CHARM;H_MOTH_197;W. Buick;W. Haggas;121;1026;11;5;5;1;1.50;101;2011-557;MARAUDING;DAM OF ALOHA CHARM;SECRETARIAT
5;12;ALQUBBAH;H_MOTH_033;O. Murphy;M. Johnston;121;1063;9;5;5;4;1.57;113;2010-454;ARCANO;DAM OF ALQUBBAH;SECRETARIAT
5;4;ALTA ANNA;H_MOTH_141;W. Buick;Sir Michael Stoute;121;1072;1;2;5;3;1.55;117;2012-305;ANABAA;DAM OF ALTA ANNA;SECRETARIAT
2;10;AMARILLO;H_FATH_123;R. Moore;C. Appleby;126;1126;2;4;1;1;1.48;113;2008-202;SADLER'S WELLS;DAM OF AMARILLO;BOLD RULER
2;5;AMAZING;A202;N Callan;K W Lui;125;1069;4;4;4;2;1.09.46;69,046;2016-713;MEDAGLIA D'ORO;POUTER;DUBAWI
2;8;AMAZING;A202;N Callan;K W Lui;124;1092;2;7;6;2;1.09.79;69,079;2016-642;MEDAGLIA D'ORO;POUTER;DUBAWI
3;6;AMAZING;A202;B Prebble;K W Lui;127;1097;9;11;9;3;1.10.04;70,004;2016-514;MEDAGLIA D'ORO;POUTER;DUBAWI
7;4;AMAZING;A202;U Rispoli;K W Lui;125;1098;11;12;12;7;1.10.91;70,091;2016-567;MEDAGLIA D'ORO;POUTER;DUBAWI
5;1;AMAZING MOMENT;T422;Z Purton;P O'Sullivan;133;1086;8;8;9;5;0.57.92;57,092;2016-298;KANTHAROS;VALVERDINA;CONGRATS
5;9;AMAZING MOMENT;T422;K Teetan;P O'Sullivan;118;1075;11;7;5;5;1.09.55;69,055;2015-665;KANTHAROS;VALVERDINA;CONGRATS
3;1;AMAZING MOMENT;T422;H T Mo;P O'Sullivan;126;1084;1;3;2;3;1.09.66;69,066;2016-773;KANTHAROS;VALVERDINA;CONGRATS
8;5;AMAZING MOMENT;T422;M L Yeung;P O'Sullivan;123;1086;4;8;6;8;1.09.92;69,092;2015-209;KANTHAROS;VALVERDINA;CONGRATS
12;13;AMAZING MOMENT;T422;K Teetan;P O'Sullivan;115;1087;6;7;8;12;1.10.06;70,006;2016-250;KANTHAROS;VALVERDINA;CONGRATS
3;3;AMAZING MOMENT;T422;C Williams;P O'Sullivan;132;1072;9;1;1;3;1.10.21;70,021;2016-698;KANTHAROS;VALVERDINA;CONGRATS
3;4;AMAZING MOMENT;T422;Z Purton;P O'Sullivan;130;1068;4;4;3;3;1.10.30;70,03;2016-627;KANTHAROS;VALVERDINA;CONGRATS
7;10;AMAZING MOMENT;T422;K Teetan;P O'Sullivan;117;1071;9;3;4;7;1.10.39;70,039;2015-715;KANTHAROS;VALVERDINA;CONGRATS
5;7;AMBITIOUS HEART;V303;K K Chiong;D E Ferraris;110;1112;7;1;3;5;0.57.03;57,003;2015-706;CAPTAIN SONADOR;PYRAMISA'S LASS;NOT A SINGLE DOUBT
5;10;AMBITIOUS HEART;V303;K C Leung;D Cruz;118;1113;8;10;10;5;0.57.54;57,054;2016-102;CAPTAIN SONADOR;PYRAMISA'S LASS;NOT A SINGLE DOUBT
5;8;AMBITIOUS HEART;V303;N Callan;D E Ferraris;121;1103;5;8;9;5;1.10.15;70,015;2016-410;CAPTAIN SONADOR;PYRAMISA'S LASS;NOT A SINGLE DOUBT
7;5;AMBITIOUS HEART;V303;K C Leung;D Cruz;121;1107;7;10;10;7;1.10.25;70,025;2016-020;CAPTAIN SONADOR;PYRAMISA'S LASS;NOT A SINGLE DOUBT
3;10;AMBITIOUS HEART;V303;N Callan;D E Ferraris;121;1110;2;5;5;3;1.10.70;70,07;2016-367;CAPTAIN SONADOR;PYRAMISA'S LASS;NOT A SINGLE DOUBT
2;10;AMBITIOUS LADY;H_MOTH_067;J. Doyle;M. Johnston;121;1047;8;2;3;3;1.35;101;2007-398;ANABAA;DAM OF AMBITIOUS LADY;SECRETARIAT
3;4;AMERICAN ANGEL;H_MOTH_174;O. Murphy;M. Johnston;121;1027;3;6;1;1;1.56;106;2010-578;AMERICAN POST;DAM OF AMERICAN ANGEL;MR. PROSPECTOR
4;1;AMERICAN DEVIL;H_FATH_137;R. Moore;John Gosden;126;1110;8;5;3;3;1.49;102;2011-236;SADLER'S WELLS;DAM OF AMERICAN DEVIL;BOLD RULER
5;1;AMERICAN POST;H_GFATH_135;Legacy Jockey;Legacy Trainer;128;1146;4;2;1;2;2.20;135;2005-641;NORTHERN DANCER;DAM OF AMERICAN POST;NEARCO
3;4;AMERICAN POST;H_FATH_054;C. Soumillon;A. P. O'Brien;126;1085;1;2;2;1;1.54;99;2006-161;NORTHERN DANCER;DAM OF AMERICAN POST;NEARCO
3;8;ANABAA;H_GFATH_054;Legacy Jockey;Legacy Trainer;128;1164;9;2;4;3;2.16;120;2002-940;NEARCO;DAM OF ANABAA;HYPERION
4;11;ANANAS;H_MOTH_121;O. Murphy;M. Johnston;121;1049;7;6;1;1;1.35;101;2007-545;NAYEF;DAM OF ANANAS;SECRETARIAT
6;11;ANGELICA GARNETT;H_MOTH_161;O. Murphy;M. Johnston;121;1032;6;3;3;2;1.40;118;2009-524;DESERT STORY;DAM OF ANGELICA GARNETT;SECRETARIAT
5;1;ANNATLANTIC;H_MOTH_093;J. Doyle;W. Haggas;121;1046;8;3;1;4;1.56;110;2012-372;STORMY ATLANTIC;DAM OF ANNATLANTIC;SECRETARIAT
2;10;ANNEE LUMIERE;H_MOTH_169;O. Murphy;Sir Michael Stoute;121;1026;2;3;2;2;1.48;117;2012-584;GIANT'S CAUSEWAY;DAM OF ANNEE LUMIERE;SECRETARIAT
6;2;AQUA D'AMORE;H_MOTH_082;J. Doyle;M. Johnston;121;1064;1;1;4;2;1.37;105;2012-504;DANEHILL;DAM OF AQUA D'AMORE;MR. PROSPECTOR
5;3;ARABIAN ART;H_MOTH_019;W. Buick;W. Haggas;121;1084;1;1;5;2;1.44;100;2012-383;E DUBAI;DAM OF ARABIAN ART;SECRETARIAT
1;7;ARCANO;H_GFATH_028;Legacy Jockey;Legacy Trainer;128;1149;7;6;5;1;2.00;128;2002-704;NEARCO;DAM OF ARCANO;HYPERION
1;7;ARCANO;H_FATH_124;R. Moore;C. Appleby;126;1123;4;3;2;1;1.51;115;2010-129;NEARCO;DAM OF ARCANO;HYPERION
4;6;ARCHIPENKO;H_FATH_098;C. Soumillon;C. Appleby;126;1113;10;4;3;1;1.56;102;2006-220;NORTHERN DANCER;DAM OF ARCHIPENKO;NEARCO
6;6;ARENA;H_GFATH_083;Legacy Jockey;Legacy Trainer;128;1135;4;4;4;4;2.18;120;2002-734;NATIVE DANCER;DAM OF ARENA;NASRULLAH
2;1;ARTHURS PRINCESS;H_MOTH_185;O. Murphy;Sir Michael Stoute;121;1066;12;2;3;3;1.49;111;2007-504;MONASHEE MOUNTAIN;DAM OF ARTHURS PRINCESS;SECRETARIAT
14;3;ASSOCIATION FANS;V207;O Doleuze;C W Chang;126;1156;6;13;14;14;1.10.71;70,071;2016-184;ONEMORENOMORE;KRYSIA;ELVSTROEM
2;5;AT TALAQ;H_GFATH_137;Legacy Jockey;Legacy Trainer;128;1109;4;2;1;6;2.07;137;1998-798;NATIVE DANCER;DAM OF AT TALAQ;NASRULLAH
12;13;AUDACITY;V238;T H So;L Ho;111;1057;8;12;12;12;0.58.41;58,041;2016-391;PIVOTAL;CARLANDA;LANDO
13;4;AUDACITY;V238;T H So;L Ho;124;1088;5;14;12;13;0.58.74;58,074;2015-706;PIVOTAL;CARLANDA;LANDO
10;12;AUDACITY;V238;T H So;L Ho;115;1062;1;9;10;10;1.10.48;70,048;2016-195;PIVOTAL;CARLANDA;LANDO
9;4;AUDACITY;V238;T H So;L Ho;124;1072;7;13;13;9;1.10.59;70,059;2015-754;PIVOTAL;CARLANDA;LANDO
5;5;BAIE;H_MOTH_203;W. Buick;Sir Michael Stoute;121;1025;5;3;4;3;1.48;116;2011-369;GREEN TUNE;DAM OF BAIE;SECRETARIAT
5;11;BALLET SOCIETY;H_MOTH_061;J. Doyle;Sir Michael Stoute;121;1051;12;1;4;4;1.42;112;2010-412;STRAVINSKY;DAM OF BALLET SOCIETY;SECRETARIAT
13;9;BANGALORE;T296;C Y Ho;C Fownes;118;1114;10;13;14;13;1.10.45;70,045;2014-745;KINGMAN;BECAUSE;SADLER'S WELLS
13;7;BANGALORE;T296;C Y Ho;C Fownes;120;1120;4;4;5;13;1.10.59;70,059;2014-680;KINGMAN;BECAUSE;SADLER'S WELLS
1;5;BEAT THE CLOCK;V397;J Moreira;J Size;130;1107;12;4;3;1;1.08.77;68,077;2016-469;HINCHINBROOK;FLION FENENA;LION HUNTER
4;4;BEAUT BEAUT;A315;T H So;L Ho;123;1146;13;13;5;4;0.57.04;57,004;2016-715;DARCI BRAHMA;LUSCIOUS LEGS;PINS
5;2;BEAUT BEAUT;A315;U Rispoli;L Ho;126;1147;5;8;5;5;0.57.09;57,009;2016-752;DARCI BRAHMA;LUSCIOUS LEGS;PINS
1;11;BECAUSE;H_MOTH_186;W. Buick;Sir Michael Stoute;121;1067;8;5;4;2;1.50;113;2012-583;SADLER'S WELLS;DAM OF BECAUSE;MR. PROSPECTOR
5;2;BELLOTTO;H_GFATH_115;Legacy Jockey;Legacy Trainer;128;1154;11;4;5;5;2.08;129;2001-933;NATIVE DANCER;DAM OF BELLOTTO;NASRULLAH
11;3;BELOVED;V312;K C Leung;P F Yiu;128;1098;4;14;10;11;0.58.73;58,073;2016-298;FRANKEL;LOVE AND BUBBLES;LOUP SAUVAGE
8;11;BELOVED;V312;C Schofield;P F Yiu;131;1076;14;10;11;8;0.58.91;58,091;2016-352;FRANKEL;LOVE AND BUBBLES;LOUP SAUVAGE
8;5;BELOVED;V312;K C Leung;P F Yiu;125;1067;11;8;9;8;1.10.70;70,07;2016-537;FRANKEL;LOVE AND BUBBLES;LOUP SAUVAGE
8;7;BELOVED;V312;C Schofield;P F Yiu;126;1064;8;7;7;8;1.10.74;70,074;2016-617;FRANKEL;LOVE AND BUBBLES;LOUP SAUVAGE
10;4;BELOVED;V312;C Schofield;P F Yiu;128;1079;4;11;11;10;1.10.92;70,092;2016-410;FRANKEL;LOVE AND BUBBLES;LOUP SAUVAGE
8;11;BERNARDINI;H_GFATH_100;Legacy Jockey;Legacy Trainer;128;1112;8;6;3;3;2.11;137;2002-886;NEARCO;DAM OF BERNARDINI;HYPERION
1;9;BERTOLINI;H_GFATH_020;Legacy Jockey;Legacy Trainer;128;1106;9;7;7;5;2.15;136;2005-691;NEARCO;DAM OF BERTOLINI;HYPERION
3;3;BERTOLINI;H_FATH_076;C. Soumillon;John Gosden;126;1142;2;4;3;2;1.45;105;2009-271;NEARCO;DAM OF BERTOLINI;HYPERION
4;3;BEST STEP;A150;Z Purton;C Fownes;126;1083;9;12;7;4;0.56.22;56,022;2016-553;SIDESTEP;SHAWNEE'S BEST;KING'S BEST
1;5;BEST STEP;A150;Z Purton;C Fownes;127;1078;10;3;1;1;0.57.04;57,004;2016-620;SIDESTEP;SHAWNEE'S BEST;KING'S BEST
2;7;BEST STEP;A150;Z Purton;C Fownes;123;1076;8;2;2;2;0.57.43;57,043;2016-584;SIDESTEP;SHAWNEE'S BEST;KING'S BEST
4;6;BEST STEP;A150;K Teetan;C Fownes;125;1090;13;7;3;4;0.57.50;57,05;2016-444;SIDESTEP;SHAWNEE'S BEST;KING'S BEST
4;7;BEST STEP;A150;Z Purton;C Fownes;121;1104;9;1;2;4;1.09.91;69,091;2016-732;SIDESTEP;SHAWNEE'S BEST;KING'S BEST
1;12;BEST STEP;A150;K Teetan;C Fownes;114;1090;2;1;1;1;1.10.17;70,017;2016-660;SIDESTEP;SHAWNEE'S BEST;KING'S BEST
5;12;BIANCONI;H_GFATH_117;Legacy Jockey;Legacy Trainer;128;1179;8;4;3;1;2.04;121;2005-874;NATIVE DANCER;DAM OF BIANCONI;NASRULLAH
2;5;BIG BAD BOB;H_FATH_056;L. Dettori;C. Appleby;126;1083;5;5;4;2;1.57;101;2006-119;NORTHERN DANCER;DAM OF BIG BAD BOB;NEARCO
14;3;BIG BANG BONG;V186;S Clipperton;J Size;127;1063;3;12;14;14;0.57.64;57,064;2016-035;BIG BAD BOB;DREAMAWAY;OASIS DREAM
10;3;BIG BANG BONG;V186;J Moreira;J Size;130;1052;2;9;8;10;0.57.92;57,092;2015-580;BIG BAD BOB;DREAMAWAY;OASIS DREAM
4;7;BIG BANG BONG;V186;B Prebble;J Size;124;1069;5;10;10;4;1.09.88;69,088;2016-153;BIG BAD BOB;DREAMAWAY;OASIS DREAM
8;2;BIG BANG BONG;V186;J Moreira;J Size;131;1047;5;3;4;8;1.10.45;70,045;2015-682;BIG BAD BOB;DREAMAWAY;OASIS DREAM
8;2;BIG BANG BONG;V186;N Callan;J Size;127;1050;6;6;6;8;1.10.59;70,059;2015-723;BIG BAD BOB;DREAMAWAY;OASIS DREAM
4;7;BIG SHUFFLE;H_GFATH_067;Legacy Jockey;Legacy Trainer;128;1149;3;2;1;2;2.16;136;1999-951;NATIVE DANCER;DAM OF BIG SHUFFLE;NASRULLAH
9;4;BIG TIME BABY;A157;S de Sousa;K L Man;130;1068;10;14;13;9;0.57.48;57,048;2016-412;DANDY MAN;ROYAL MAJESTIC;TOBOUGG
11;3;BIG TIME BABY;A157;C Murray;K L Man;131;1109;5;10;10;11;0.57.90;57,09;2016-793;DANDY MAN;ROYAL MAJESTIC;TOBOUGG
1;2;BISLIERI;H_MOTH_076;J. Doyle;Sir Michael Stoute;121;1050;4;5;5;3;1.46;103;2008-504;ENCOSTA DE LAGO;DAM OF BISLIERI;MR. PROSPECTOR
3;11;BITE THE BULLET;H_GFATH_076;Legacy Jockey;Legacy Trainer;128;1115;12;4;4;6;2.05;123;2004-710;NEARCO;DAM OF BITE THE BULLET;HYPERION
6;4;BLACK MAMBA;H_MOTH_167;W. Buick;W. Haggas;121;1029;1;3;1;3;1.43;98;2012-338;BLACK MINNALOUSHE;DAM OF BLACK MAMBA;SECRETARIAT
8;9;BLACK MINNALOUSHE;H_GFATH_129;Legacy Jockey;Legacy Trainer;128;1137;9;8;2;5;2.05;137;2005-779;NATIVE DANCER;DAM OF BLACK MINNALOUSHE;NASRULLAH
3;8;BLACK TUNIC;H_MOTH_182;J. Doyle;M. Johnston;121;1032;4;2;3;4;1.59;105;2009-438;STORMY ATLANTIC;DAM OF BLACK TUNIC;MR. PROSPECTOR
4;9;BLACKFRIARS;H_FATH_024;C. Soumillon;A. P. O'Brien;126;1087;9;1;2;1;1.54;97;2010-272;NORTHERN DANCER;DAM OF BLACKFRIARS;NEARCO
6;12;BLETCHLEY PARK;H_GFATH_023;Legacy Jockey;Legacy Trainer;128;1170;11;4;2;2;2.19;129;2002-952;NATIVE DANCER;DAM OF BLETCHLEY PARK;NASRULLAH
6;8;BLEVIC;H_GFATH_027;Legacy Jockey;Legacy Trainer;128;1113;10;4;6;6;2.17;132;1998-722;NATIVE DANCER;DAM OF BLEVIC;NASRULLAH
3;5;BODEMEISTER;H_FATH_133;C. Soumillon;C. Appleby;126;1130;3;5;1;2;1.52;107;2007-264;SADLER'S WELLS;DAM OF BODEMEISTER;BOLD RULER
1;3;BOKISSA;H_MOTH_106;O. Murphy;M. Johnston;121;1038;9;4;4;2;1.53;107;2009-517;BRADBURY'S LUCK;DAM OF BOKISSA;MR. PROSPECTOR
1;6;BOLD BIDDER;H_MOTH_046;O. Murphy;W. Haggas;121;1089;9;4;2;4;1.43;101;2011-358;INDESATCHEL;DAM OF BOLD BIDDER;MR. PROSPECTOR
2;6;BOLSHOI BALLET;V226;B Prebble;D J Hall;125;1076;9;1;1;2;1.09.22;69,022;2016-520;GALILEO;ALTA ANNA;ANABAA
7;4;BOLSHOI BALLET;V226;Z Purton;D J Hall;127;1058;12;12;9;7;1.09.57;69,057;2016-549;GALILEO;ALTA ANNA;ANABAA
6;5;BOLSHOI BALLET;V226;M F Poon;D J Hall;114;1064;4;4;7;6;1.09.72;69,072;2016-693;GALILEO;ALTA ANNA;ANABAA
3;4;BOLSHOI BALLET;V226;S Clipperton;D J Hall;127;1061;9;12;9;3;1.09.83;69,083;2016-347;GALILEO;ALTA ANNA;ANABAA
7;6;BOLSHOI BALLET;V226;C Schofield;D J Hall;127;1065;7;8;10;7;1.09.92;69,092;2016-458;GALILEO;ALTA ANNA;ANABAA
5;6;BOLSHOI BALLET;V226;Z Purton;D J Hall;128;1065;10;5;6;5;1.10.02;70,002;2016-392;GALILEO;ALTA ANNA;ANABAA
4;1;BOLSHOI BALLET;V226;S Clipperton;D J Hall;132;1072;3;4;4;4;1.10.12;70,012;2016-195;GALILEO;ALTA ANNA;ANABAA
4;9;BOLSHOI BALLET;V226;B Prebble;D J Hall;124;1059;10;6;5;4;1.10.46;70,046;2016-782;GALILEO;ALTA ANNA;ANABAA
11;8;BOLSHOI BALLET;V226;Z Purton;D J Hall;124;1058;6;8;8;11;1.10.73;70,073;2015-682;GALILEO;ALTA ANNA;ANABAA
8;7;BOLSHOI BALLET;V226;Z Purton;D J Hall;125;1043;1;9;9;8;1.10.83;70,083;2015-634;GALILEO;ALTA ANNA;ANABAA
7;9;BONHEUR;T039;K K Chiong;D Cruz;119;987;2;10;11;7;0.58.01;58,001;2016-635;MUNNINGS;ANNATLANTIC;STORMY ATLANTIC
11;4;BONHEUR;T039;K C Ng;T K Ng;122;1030;14;13;14;11;0.58.21;58,021;2015-402;MUNNINGS;ANNATLANTIC;STORMY ATLANTIC
9;8;BONHEUR;T039;C Y Ho;D Cruz;120;992;8;11;10;9;1.10.38;70,038;2016-770;MUNNINGS;ANNATLANTIC;STORMY ATLANTIC
12;13;BONHEUR;T039;H W Lai;T K Ng;116;1014;5;12;12;12;1.10.86;70,086;2015-746;MUNNINGS;ANNATLANTIC;STORMY ATLANTIC
14;7;BONITO;V319;M Chadwick;L Ho;125;1143;6;11;12;14;1.10.73;70,073;2016-177;AGENT SECRET;BAIE;GREEN TUNE
3;11;BOROBODUR;H_MOTH_004;W. Buick;M. Johnston;121;1079;12;4;2;2;1.37;117;2011-535;STRATEGIC;DAM OF BOROBODUR;MR. PROSPECTOR
6;9;BRADBURY'S LUCK;H_GFATH_087;Legacy Jockey;Legacy Trainer;128;1168;1;5;2;3;2.02;132;2004-945;NATIVE DANCER;DAM OF BRADBURY'S LUCK;NASRULLAH
4;6;BRAVE LEGEND;A260;K C Leung;T P Yung;119;1150;2;7;7;4;1.10.23;70,023;2016-740;CHOISIR;UNO SAYURI;SCATTER THE GOLD
6;6;BREAK OF DAWN;H_MOTH_096;W. Buick;M. Johnston;121;1025;10;6;4;3;1.48;98;2012-306;MT. LIVERMORE;DAM OF BREAK OF DAWN;MR. PROSPECTOR
5;1;BREEDERS' STAR;V197;K K Chiong;D E Ferraris;126;1124;1;8;6;5;0.56.51;56,051;2015-670;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
5;11;BREEDERS' STAR;V197;K Teetan;D E Ferraris;115;1121;9;8;8;5;0.57.57;57,057;2015-617;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
7;1;BREEDERS' STAR;V197;K K Chiong;D E Ferraris;126;1123;4;12;11;7;0.57.98;57,098;2015-737;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
3;9;BREEDERS' STAR;V197;K Teetan;D E Ferraris;122;1160;10;10;10;3;1.09.69;69,069;2016-442;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
1;6;BREEDERS' STAR;V197;N Callan;D E Ferraris;122;1141;7;5;5;1;1.09.80;69,08;2016-657;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
9;9;BREEDERS' STAR;V197;K Teetan;D E Ferraris;125;1127;1;4;5;9;1.10.25;70,025;2016-539;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
6;6;BREEDERS' STAR;V197;N Callan;D E Ferraris;125;1137;11;5;2;6;1.10.50;70,05;2016-623;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
1;1;BREEDERS' STAR;V197;S de Sousa;D E Ferraris;132;1161;7;4;4;1;1.10.52;70,052;2016-365;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
3;6;BREEDERS' STAR;V197;D Whyte;D E Ferraris;128;1152;9;6;6;3;1.10.92;70,092;2016-058;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
1;6;BREEDERS' STAR;V197;J Moreira;D E Ferraris;127;1157;1;3;3;1;1.10.96;70,096;2016-172;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
7;2;BREEDERS' STAR;V197;G Lerena;D E Ferraris;132;1164;10;2;2;7;1.11.05;71,005;2016-246;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
7;10;BREEDERS' STAR;V197;D Whyte;D E Ferraris;119;1110;4;6;5;7;1.11.12;71,012;2015-561;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
8;5;BREEDERS' STAR;V197;C Schofield;D E Ferraris;123;1099;2;7;8;8;1.11.14;71,014;2015-352;JET SPUR;LIKE THE WIND;DEPUTY GOVERNOR
1;3;BRIAN BORU;H_FATH_116;L. Dettori;C. Appleby;126;1131;2;2;1;1;1.58;111;2008-155;MASTERSTROKE;BEST TUNE;KING'S BEST
2;11;BRIEF TRUCE;H_GFATH_035;Legacy Jockey;Legacy Trainer;128;1144;8;4;6;5;2.19;127;1998-621;NATIVE DANCER;DAM OF BRIEF TRUCE;NASRULLAH
6;5;BRIGHT SNOW;H_MOTH_143;W. Buick;Sir Michael Stoute;121;1049;9;4;3;4;1.58;97;2008-598;GULCH;DAM OF BRIGHT SNOW;SECRETARIAT
8;7;BRING IT ON;V407;C Y Ho;C H Yip;124;1106;7;12;12;8;1.10.09;70,009;2016-126;ARCANO;SASSY GAL;KING'S BEST
8;4;BRING IT ON;V407;Z Purton;C H Yip;124;1155;7;9;7;8;1.10.81;70,081;2016-230;ARCANO;SASSY GAL;KING'S BEST
8;6;BUCK'S PRIDE;H_GFATH_091;Legacy Jockey;Legacy Trainer;128;1179;6;8;5;3;2.15;125;1998-992;NATIVE DANCER;DAM OF BUCK'S PRIDE;NASRULLAH
11;11;BULB ELITE;A183;K C Leung;P O'Sullivan;117;1164;12;10;11;11;1.11.06;71,006;2016-742;IFFRAAJ;MIRANDA MISS;RESET
4;4;BULLBARS;H_FATH_061;R. Moore;John Gosden;126;1123;5;5;3;3;1.35;111;2007-148;SADLER'S WELLS;DAM OF BULLBARS;BOLD RULER
3;3;BUSH TRIUMPH;H_MOTH_110;O. Murphy;M. Johnston;121;1083;9;5;1;1;1.43;119;2011-579;BUCK'S PRIDE;DAM OF BUSH TRIUMPH;MR. PROSPECTOR
3;7;C P POWER;V037;O Bosson;A T Millard;124;1088;13;3;4;3;0.56.43;56,043;2015-755;NADEEM;MISS GALILEO;GALILEO
9;6;C P POWER;V037;S Clipperton;A T Millard;124;1069;11;5;6;9;0.56.84;56,084;2016-004;NADEEM;MISS GALILEO;GALILEO
2;5;C P POWER;V037;J Moreira;A T Millard;127;1056;7;9;8;2;0.57.97;57,097;2016-061;NADEEM;MISS GALILEO;GALILEO
4;7;C P POWER;V037;J Moreira;A T Millard;126;1063;4;5;6;4;0.58.24;58,024;2016-099;NADEEM;MISS GALILEO;GALILEO
5;8;C P POWER;V037;S de Sousa;A T Millard;124;1065;8;5;6;5;1.10.59;70,059;2016-355;NADEEM;MISS GALILEO;GALILEO
5;5;C P POWER;V037;K Teetan;A T Millard;125;1126;3;1;1;5;1.10.80;70,08;2015-330;NADEEM;MISS GALILEO;GALILEO
3;8;C P POWER;V037;K Teetan;A T Millard;124;1085;3;4;6;3;1.10.84;70,084;2015-477;NADEEM;MISS GALILEO;GALILEO
5;6;C P POWER;V037;G Lerena;A T Millard;124;1082;7;5;5;5;1.11.03;71,003;2015-492;NADEEM;MISS GALILEO;GALILEO
